Timestamp,Stored energy [MWh],SoC [-],Charge [MWh],Discharge [MWh],Day-ahead buy [MWh],Day-ahead sell [MWh],FCR Capacity [MW],aFRR Capacity POS [MW],aFRR Capacity NEG [MW]
2024-01-01 00:15:00.000,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:30:00.001,0.5,0.5,0.0825,0.0,0.0825,0.0,0.0,0.0,0.0
2024-01-01 00:45:00.001,0.578375,0.578375,0.0825,0.0,0.0825,0.0,0.0,0.0,0.0
2024-01-01 01:00:00.001,0.65675,0.65675,0.0,0.0825,0.0,0.0825,0.0,0.0,0.0
2024-01-01 01:15:00.001,0.5742499999999999,0.5742499999999999,0.0825,0.0,0.0825,0.0,0.0,0.0,0.0
2024-01-01 01:30:00.002,0.6526249999999999,0.6526249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:45:00.002,0.6526249999999999,0.6526249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00.002,0.6526249999999999,0.6526249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:15:00.003,0.6526249999999999,0.6526249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:30:00.003,0.6526249999999999,0.6526249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:45:00.003,0.6526249999999999,0.6526249999999999,0.0825,0.0,0.0825,0.0,0.0,0.0,0.0
2024-01-01 03:00:00.003,0.7309999999999999,0.7309999999999999,0.0,0.0825,0.0,0.0825,0.0,0.0,0.0
2024-01-01 03:15:00.004,0.6484999999999999,0.6484999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:30:00.004,0.6484999999999999,0.6484999999999999,0.0825,0.0,0.0825,0.0,0.0,0.0,0.0
2024-01-01 03:45:00.004,0.7268749999999998,0.7268749999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00.005,0.7268749999999998,0.7268749999999998,0.0,0.0,0.0,0.0,0.066,0.033,0.033
2024-01-01 04:15:00.005,0.7268749999999998,0.7268749999999998,0.0825,0.0,0.0825,0.0,0.0,0.0,0.0
2024-01-01 04:30:00.005,0.8052499999999998,0.8052499999999998,0.0825,0.0,0.0825,0.0,0.0,0.0,0.0
2024-01-01 04:45:00.005,0.8836249999999998,0.8836249999999998,0.0,0.0,0.0,0.0,0.066,0.033,0.033
2024-01-01 05:00:00.006,0.8836249999999998,0.8836249999999998,0.0,0.0,0.0,0.0,0.066,0.033,0.033
